id,page_num,samwha_code,color_group,munsell,color,HVC_H,HVC_V,HVC_C,R,G,B,HEX,C,M,Y,K,L*,a*,b*,NCS,Pantone
1,1,2001A,Neutrals,9.7Y  9.6/0.3,Y,9.7Y,9.6,0.3,255,254,252,fffefc,0,1,1,0,97,-1,3,S 0300-N,11-0602 TPG
2,1,2001B,Neutrals,7.6GY  9.5/0.3,GY,7.6GY,9.5,0.3,250,249,247,faf9f7,2,3,3,0,96,-2,3,S 0500-N,11-4804 TPG
3,1,2001C,Neutrals,2.6Y  8.9/0.2,Y,2.6Y,8.9,0.2,242,239,237,f2efed,6,6,7,0,91,-1,2,S1101-N,12-4302 TPG
4,1,2001D,Neutrals,3.4GY  8.5/0.2,GY,3.4GY,8.5,0.2,229,227,225,e5e3e1,12,11,11,0,86,-1,2,S1601-N,13-4305 TPG
5,1,2001E,Neutrals,7.2Y  8/0.2,Y,7.2Y,8,0.2,217,214,212,d9d6d4,18,15,14,0,82,-1,2,S2101-N,13-4303 TPG
6,1,2001F,Neutrals,4.8GY  7.6/0.2,GY,4.8GY,7.6,0.2,206,203,202,cecbca,23,19,18,0,77,-1,1,S3101-N,14-4104 TPG
7,2,2002A,Neutrals,6.9GY  7.3/0.1,GY,6.9GY,7.3,0.1,193,189,188,c1bdbc,29,24,23,0,74,-1,1,S 3000-N,15-4703 TPG
8,2,2002B,Neutrals,1.4Y  6.8/0.1,Y,1.4Y,6.8,0.1,178,176,176,b2b0b0,35,29,27,0,69,1,1,S 3500-N,16-4402 TPG
9,2,2002C,Neutrals,5.6PB  6.3/0.1,PB,5.6PB,6.3,0.1,164,163,167,a4a3a7,42,34,29,0,65,0,-1,S 4000-N,16-5102 TPG
10,2,2002D,Neutrals,4.8PB  6/0.2,PB,4.8PB,6,0.2,153,152,156,99989c,47,38,33,0,61,-1,-1,S 4500-N,17-5102 TPG
11,2,2002E,Neutrals,5.2PB  5.6/0.3,PB,5.2PB,5.6,0.3,140,139,143,8c8b8f,52,44,39,0,58,-1,-1,S 5000-N,17-1501 TPG
12,2,2002F,Neutrals,9.3B  5.3/0.1,B,9.3B,5.3,0.1,132,131,133,848385,56,47,43,0,54,-1,-1,S 5500-N,17-0000 TPG
13,3,2003A,Neutrals,6.8PB  4.8/0.2,PB,6.8PB,4.8,0.2,124,120,123,7c787b,59,53,47,0,50,1,-1,S 6000-N,18-4010 TPG
14,3,2003B,Neutrals,8.3PB  4.5/0.2,PB,8.3PB,4.5,0.2,112,108,112,706c70,64,58,51,2,46,1,-1,S 6500-N,18-4006 TPG
15,3,2003C,Neutrals,6.8PB  4.1/0.2,PB,6.8PB,4.1,0.2,101,98,102,656266,68,62,55,6,42,1,-1,S 7000-N,19-3803 TPG
16,3,2003D,Neutrals,4.9PB  3.7/0.2,PB,4.9PB,3.7,0.2,92,88,91,5c585b,70,65,59,13,38,1,-1,S 7500-N,19-3917 TPG
17,3,2003E,Neutrals,6.2PB  3.1/0.1,PB,6.2PB,3.1,0.1,78,74,77,4e4a4d,74,69,63,23,32,1,-1,S 7900-N,19-0205 TPG
18,3,2003F,Neutrals,7.7PB  1.8/0.3,PB,7.7PB,1.8,0.3,42,39,41,2a2729,81,78,73,54,19,1,-2,S 9000-N,19-3911 TPG
19,4,2004A,Steady Color,9.7Y  9.5/0.7,Y,9.7Y,9.5,0.7,252,249,241,fcf9f1,2,3,7,0,96,-2,7,S 0602-Y05R,11-4302 TPG
20,4,2004B,Steady Color,7.3Y  8.8/0.6,Y,7.3Y,8.8,0.6,237,234,228,edeae4,9,8,11,0,89,-1,5,S 1302-Y05R,12-5201 TPG
21,4,2004C,Steady Color,7.9Y  8.4/0.6,Y,7.9Y,8.4,0.6,227,223,218,e3dfda,13,12,14,0,85,-1,5,S 1703-Y,12-4300 TPG
22,4,2004D,Steady Color,4.9Y  8/0.6,Y,4.9Y,8,0.6,214,209,203,d6d1cb,19,17,19,0,81,-1,5,S 2202-Y,13-4403 TPG
23,4,2004E,Steady Color,6.8Y  7.5/0.6,Y,6.8Y,7.5,0.6,201,198,193,c9c6c1,25,21,22,0,77,-1,5,S 2702-Y,14-4500 TPG
24,4,2004F,Steady Color,2.3Y  7.6/1,Y,2.3Y,7.6,1,207,200,192,cfc8c0,22,21,23,0,77,1,7,S 3002-Y,14-0002 TPG
25,5,2005A,Steady Color,9.4Y  9.4/0.5,Y,9.4Y,9.4,0.5,252,249,245,fcf9f5,1,3,5,0,95,-1,4,S 0502-Y05R,11-4300 TPG
26,5,2005B,Steady Color,6.7Y  9.1/0.7,Y,6.7Y,9.1,0.7,245,241,235,f5f1eb,5,6,9,0,92,-1,6,S 0903-Y05R,11-0103 TPG
27,5,2005C,Steady Color,4.9Y  8.8/0.7,Y,4.9Y,8.8,0.7,237,233,228,ede9e4,9,9,11,0,89,-1,6,S 1302-Y20R,12-5201 TPG
28,5,2005D,Steady Color,2.5Y  8.3/1,Y,2.5Y,8.3,1,232,225,213,e8e1d5,11,12,17,0,85,1,8,S 1604-Y25R,13-0905 TPG
29,5,2005E,Steady Color,1.1Y  8.1/1.2,Y,1.1Y,8.1,1.2,223,214,204,dfd6cc,16,16,19,0,82,2,9,S 2005-Y35R,13-0404 TPG
30,5,2005F,Steady Color,0.8Y  7.7/1.2,Y,0.8Y,7.7,1.2,214,203,195,d6cbc3,19,21,22,0,78,2,8,S 2404-Y35R,13-0400 TPG
31,6,2006A,Steady Color,1.0Y  9.4/0.7,Y,1.0Y,9.4,0.7,252,247,240,fcf7f0,2,5,7,0,95,1,6,S 0603-Y50R,11-0604 TPG
32,6,2006B,Steady Color,0.1Y  8.9/0.6,Y,0.1Y,8.9,0.6,242,235,230,f2ebe6,6,9,10,0,91,1,5,S 1002-Y50R,11-0605 TPG
33,6,2006C,Steady Color,0.4Y  8.4/0.6,Y,0.4Y,8.4,0.6,229,224,218,e5e0da,12,12,14,0,85,1,4,S 1502-Y50R,13-0000 TPG
34,6,2006D,Steady Color,9.6YR  7.9/0.7,YR,9.6YR,7.9,0.7,212,205,201,d4cdc9,20,19,19,0,80,2,5,S 2202-Y50R,14-0000 TPG
35,6,2006E,Steady Color,9.0YR  7.1/0.8,YR,9.0YR,7.1,0.8,194,186,182,c2bab6,28,26,25,0,73,2,5,S 3103-Y50R,15-0000 TPG
36,6,2006F,Steady Color,7.8YR  6.9/1.2,YR,7.8YR,6.9,1.2,196,184,173,c4b8ad,28,28,30,0,70,3,7,S 3005-Y50R,16-1103 TPG
37,7,2007A,Steady Color,4.5YR  9.4/0.6,YR,4.5YR,9.4,0.6,250,246,242,faf6f2,3,5,5,0,95,1,3,S 0503-Y90R,11-0607 TPG
38,7,2007B,Steady Color,0.4YR  8.9/0.6,YR,0.4YR,8.9,0.6,237,231,230,ede7e6,8,10,8,0,90,2,2,S 1002-R,11-1006 TPG
39,7,2007C,Steady Color,8.8R  8.4/0.6,R,8.8R,8.4,0.6,224,218,215,e0dad7,14,14,14,0,85,2,2,S 1502-Y90R,13-0002 TPG
