id,secondary,accent,base
1,2143A,2143D,2001A
2,2060C,2183E,2001A
3,2145B,2145F,2001B
4,2074B,2139F,2001B
5,2139B,2139D,2001C
6,2200C,2145D,2001C
7,2146B,2146D,2001D
8,2142B,2142E,2001D
9,2133B,2166B,2001E
10,2109B,2108E,2001E
11,2115B,2115D,2001F
12,2082C,2176D,2002A
13,2141A,2141C,2004A
14,2069B,2167F,2004A
15,2139A,2139E,2004B
16,2102A,2102D,2004B
17,2014E,2166D,2004C
18,2014B,2101C,2004C
19,2014D,2167F,2004D
20,2013F,2189F,2004D
21,2038F,2171E,2004E
22,2014F,2132C,2004E
23,2135B,2102C,2004F
24,2165B,2166B,2004F
25,2140A,2140D,2005A
26,2107B,2171C,2005B
27,2103A,2103F,2005B
28,2134C,2134F,2005C
29,2114C,2114F,2005D
30,2110D,2110E,2005E
31,2106B,2104F,2005F
32,2138A,2138E,2006A
33,2013A,2165C,2006A
34,2069F,2166E,2006B
35,2049D,2189B,2006B
36,2047F,2167B,2006C
37,2046F,2133F,2006C
38,2106D,2195B,2006D
39,2106F,2197A,2006E
40,2006F,2136D,2007A
41,2054C,2195E,2007A
42,2106C,2104C,2007B
43,2015A,2144F,2007B
44,2078D,2190E,2007C
45,2015B,2143D,2007C
46,2113A,2144D,2007D
47,2079B,2193E,2007D
48,2199A,2175B,2007E
49,2083B,2149F,2007E
50,2051F,2170E,2007F
51,2082E,2195F,2008A
52,2081B,2176C,2008B
53,2056C,2177A,2008B
54,2083D,2177D,2008C
55,2056D,2176F,2008C
56,2117B,2177B,2008D
57,2040D,2177C,2008D
58,2150B,2150E,2008E
59,2040E,2176E,2008E
60,2149B,2149E,2008F
61,2117A,2177B,2008F
62,2042C,2181D,2009A
63,2087C,2180F,2009B
64,2002E,2191D,2009B
65,2090B,2182A,2009C
66,2016D,2151D,2009C
67,2058D,2180D,2009D
68,2084B,2178B,2009D
69,2003E,2180A,2009E
70,2200D,2191D,2009E
71,2119A,2152D,2009F
72,2087B,2181B,2010A
73,2123B,2182A,2010A
74,2143B,2143E,2010B
75,2061D,2183D,2010B
76,2091D,2196D,2010C
77,2017F,2183B,2010C
78,2042E,2181F,2010D
79,2089D,2182E,2010D
80,2199C,2121E,2010E
81,2059E,2153E,2010E
82,2154A,2154D,2010F
83,2120B,2120E,2011A
84,2061C,2184C,2011A
85,2078C,2113F,2011B
86,2062E,2196E,2011B
87,2186F,2186D,2011C
88,2017E,2185B,2011C
89,2063F,2185E,2011D
90,2153B,2153D,2011E
91,2200F,2186C,2011F
92,2132A,2132D,2012A
93,2018C,2186A,2012A
94,2140B,2140E,2012B
95,2098D,2163F,2012B
96,2118B,2178B,2012C
97,2096E,2130F,2012C
98,2080E,2193E,2012D
99,2164B,2189E,2012D
100,2130B,2186A,2012E
101,2066F,2188E,2012E
102,2077B,2174F,2019A
103,2111B,2174B,2019B
104,2068C,2166C,2019C
105,2101E,2133E,2019D
106,2112A,2173C,2019E
107,2198B,2168B,2019F
108,2138B,2138F,2020A
109,2052C,2139E,2020A
110,2037C,2135E,2020B
111,2038D,2168A,2020B
112,2072E,2136E,2020C
113,2051E,2169A,2020D
114,2070E,2169C,2020E
115,2200B,2169D,2020F
116,2073B,2138D,2021A
117,2075B,2139C,2021A
118,2198D,2172C,2021B
119,2109C,2109E,2021B
120,2051C,2168A,2021C
121,2108C,2140E,2021C
122,2075E,2105E,2021D
123,2136B,2135D,2021E
124,2107F,2137D,2021F
125,2071B,2136C,2022A
126,2053C,2173F,2022B
127,2053E,2143E,2022B
128,2073C,2138C,2022C
129,2075C,2195D,2022C
130,2074C,2139C,2022D
131,2075D,2172A,2022E
132,2111F,2142F,2022F
133,2147C,2147F,2023A
134,2114A,2175A,2023A
135,2112B,2174D,2023B
136,2015F,2113E,2023B
137,2080B,2175D,2023C
138,2115A,2115E,2023C
139,2115C,2191A,2023D
140,2039E,2146D,2023D
141,2080D,2145D,2023E
142,2055E,2145F,2023E
143,2055F,2115E,2023F
144,2116B,2148F,2024A
145,2082B,2176A,2024A
146,2116D,2191B,2024B
147,2056F,2148F,2024B
148,2084F,2178A,2024C
149,2117F,2177F,2024D
150,2117D,2149D,2024D
151,2117E,2177E,2024E
152,2056E,2148E,2024E
153,2116F,2148D,2024F
154,2003A,2196A,2024F
155,2119D,2179E,2025A
156,2002C,2194A,2025A
157,2118C,2178D,2025B
158,2041F,2180D,2025B
159,2086C,2181C,2025C
160,2087F,2152D,2025C
161,2086D,2196B,2025D
162,2003D,2196B,2025D
163,2087E,2196C,2025E
164,2119E,2179D,2025E
165,2041D,2179F,2025F
166,2057E,2178F,2025F
167,2085B,2179D,2026A
168,2003B,2151E,2026A
169,2086B,2179C,2026B
170,2085F,2179A,2026B
171,2016A,2181A,2026C
172,2154B,2154E,2026D
173,2090D,2182D,2026D
174,2121B,2121D,2026E
175,2062C,2184D,2026E
176,2059C,2181E,2026F
